time=2020-02-10T08:54:21.313Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[701]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-10T08:54:21.313Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[301]:mongoConnect | msg=mongo version server: 3.6.17 (mayor: 3, minor: 6, extra: 17)
time=2020-02-10T08:54:21.313Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[128]:mongoConnect | msg=Connection info: dbName='ftest', rplSet='', timeout=4666723172467343.000000
time=2020-02-10T08:54:21.315Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[235]:mongoConnect | msg=Successful connection to database
time=2020-02-10T08:54:21.315Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[755]:setWriteConcern | msg=setWritteConcern(): '1'
time=2020-02-10T08:54:21.315Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[760]:setWriteConcern | msg=Database Operation Successful (setWriteConcern: 1)
time=2020-02-10T08:54:21.315Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[802]:getWriteConcern | msg=getWriteConcern()
time=2020-02-10T08:54:21.316Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[807]:getWriteConcern | msg=Database Operation Successful (getWriteConcern)
time=2020-02-10T08:54:21.316Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[258]:mongoConnect | msg=Active DB Write Concern mode: 1
time=2020-02-10T08:54:21.316Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[691]:runCollectionCommand | msg=runCommand() in 'admin' collection: '{ buildinfo: 1 }'
time=2020-02-10T08:54:21.317Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[701]:runCollectionCommand | msg=Database Operation Successful (command: { buildinfo: 1 })
time=2020-02-10T08:54:21.317Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=mongoConnectionPool.cpp[301]:mongoConnect | msg=mongo version server: 3.6.17 (mayor: 3, minor: 6, extra: 17)
time=2020-02-10T08:54:21.317Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=MongoGlobal.cpp[234]:mongoInit | msg=Connected to mongo at localhost:27017:ftest
time=2020-02-10T08:54:21.317Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=MongoGlobal.cpp[471]:setDbPrefix | msg=Set dbPrefix to 'ftest'
time=2020-02-10T08:54:21.317Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=MongoGlobal.cpp[630]:composeDatabaseName | msg=database name composed: 'ftest'
time=2020-02-10T08:54:21.317Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[577]:collectionCreateIndex | msg=createIndex() in 'ftest.entities' collection: '{ location.coords: "2dsphere" }'
time=2020-02-10T08:54:21.343Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[597]:collectionCreateIndex | msg=Database Operation Successful (createIndex: { location.coords: "2dsphere" })
time=2020-02-10T08:54:21.343Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=MongoGlobal.cpp[728]:ensureLocationIndex | msg=ensuring 2dsphere index on location.coords (tenant )
time=2020-02-10T08:54:21.343Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=MongoGlobal.cpp[630]:composeDatabaseName | msg=database name composed: 'ftest'
time=2020-02-10T08:54:21.343Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[577]:collectionCreateIndex | msg=createIndex() in 'ftest.entities' collection: '{ expDate: 1 }'
time=2020-02-10T08:54:21.353Z | lvl=INFO | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=connectionOperations.cpp[597]:collectionCreateIndex | msg=Database Operation Successful (createIndex: { expDate: 1 })
time=2020-02-10T08:54:21.353Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=MongoGlobal.cpp[747]:ensureDateExpirationIndex | msg=ensuring TTL date expiration index on expDate (tenant )
time=2020-02-10T08:54:21.355Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=subCache.cpp[242]:subCacheInit | msg=Initializing subscription cache
time=2020-02-10T08:54:21.355Z | lvl=DEBUG | corr=N/A | trans=N/A | from=N/A | srv=N/A | subsrv=N/A | comp=Orion | op=subCache.cpp[940]:subCacheStatisticsReset | msg=Statistics reset by subCacheInit: refreshes is now 0
